epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,468.964,1.10181,1.019,0.24385,0.05074,0.44767,0.06345,0.02264,0.68548,1.27797,0.14476,3.32948e-05,3.32948e-05,0.0667385
2,916.41,0.70499,1.04758,0.12055,0.07509,0.38882,0.0732,0.03333,0.4952,1.24096,0.09509,6.61884e-05,6.61884e-05,0.0334381
3,1378.45,0.58084,1.11191,0.09792,0.09444,0.37564,0.08662,0.04375,0.45175,1.23054,0.09129,9.8642e-05,9.8642e-05,0.000137178
4,1850.38,0.55494,1.02954,0.10003,0.52712,0.5966,0.46253,0.22376,0.58381,0.7366,0.13139,9.802e-05,9.802e-05,9.802e-05
5,2295.12,0.63317,0.70343,0.12468,0.62302,0.60238,0.58977,0.27518,0.58752,0.65192,0.13029,9.736e-05,9.736e-05,9.736e-05
6,2737.85,0.61998,0.62435,0.11851,0.65484,0.62867,0.64167,0.308,0.57646,0.61456,0.12608,9.67e-05,9.67e-05,9.67e-05
7,3181.34,0.61631,0.60634,0.11711,0.65916,0.6291,0.6374,0.30926,0.57444,0.6313,0.13178,9.604e-05,9.604e-05,9.604e-05
8,3623.96,0.60666,0.59543,0.11609,0.65795,0.65752,0.65702,0.3181,0.56873,0.59343,0.12361,9.538e-05,9.538e-05,9.538e-05
9,4067,0.60464,0.58341,0.11376,0.67786,0.65984,0.6711,0.32641,0.56551,0.58657,0.12245,9.472e-05,9.472e-05,9.472e-05
10,4509.84,0.59824,0.57129,0.11101,0.70291,0.6403,0.68093,0.33722,0.56193,0.58644,0.12288,9.406e-05,9.406e-05,9.406e-05
11,4952.2,0.59482,0.57136,0.11145,0.70052,0.65246,0.68253,0.33093,0.5623,0.57621,0.12097,9.34e-05,9.34e-05,9.34e-05
12,5394.97,0.5874,0.55759,0.10963,0.71461,0.671,0.70178,0.34144,0.55595,0.56992,0.12141,9.274e-05,9.274e-05,9.274e-05
13,5837.25,0.58895,0.55408,0.1082,0.69126,0.67661,0.70469,0.35683,0.54126,0.56883,0.11824,9.208e-05,9.208e-05,9.208e-05
