epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,677.986,0.9944,1.06993,0.20584,0.0405,0.31886,0.03581,0.01171,0.79545,0.99384,0.13385,3.32948e-05,3.32948e-05,0.0667385
2,1363.75,0.70658,1.04339,0.1126,0.06691,0.43273,0.06667,0.03374,0.47741,1.25439,0.0931,6.61884e-05,6.61884e-05,0.0334381
3,2064.58,0.62927,1.06761,0.10314,0.08246,0.50507,0.08464,0.04187,0.4704,1.24824,0.09206,9.8642e-05,9.8642e-05,0.000137178
4,2765.94,0.522,1.10089,0.0847,0.1776,0.47178,0.18335,0.09408,0.45801,1.13108,0.08975,9.802e-05,9.802e-05,9.802e-05
5,3479.96,0.55609,0.91428,0.09625,0.59813,0.62775,0.56717,0.26585,0.58299,0.66353,0.12641,9.736e-05,9.736e-05,9.736e-05
6,4146.03,0.60612,0.64844,0.11255,0.64112,0.6346,0.62888,0.31062,0.56678,0.6467,0.12411,9.67e-05,9.67e-05,9.67e-05
7,4812.55,0.59749,0.62777,0.11015,0.65451,0.65356,0.64825,0.31508,0.56608,0.65411,0.12516,9.604e-05,9.604e-05,9.604e-05
8,5516.17,0.58721,0.60456,0.10944,0.68608,0.64558,0.6753,0.33363,0.55332,0.59818,0.11837,9.538e-05,9.538e-05,9.538e-05
9,6227.41,0.58401,0.5882,0.10692,0.67713,0.6738,0.68351,0.34012,0.54966,0.59275,0.11841,9.472e-05,9.472e-05,9.472e-05
10,6968.77,0.57271,0.58056,0.10304,0.69136,0.65222,0.68705,0.34296,0.54905,0.58859,0.11871,9.406e-05,9.406e-05,9.406e-05
11,7662.54,0.56826,0.57738,0.10292,0.70823,0.67057,0.70082,0.35754,0.54407,0.57571,0.12086,9.34e-05,9.34e-05,9.34e-05
12,8356.56,0.56241,0.56765,0.10189,0.69794,0.6742,0.70098,0.3532,0.54012,0.58182,0.11717,9.274e-05,9.274e-05,9.274e-05
13,9041.27,0.56545,0.57103,0.10268,0.69877,0.67893,0.69582,0.35338,0.54229,0.59338,0.11965,9.208e-05,9.208e-05,9.208e-05
14,9705.09,0.55474,0.57216,0.10106,0.68577,0.69586,0.71209,0.36972,0.53992,0.57208,0.1204,9.142e-05,9.142e-05,9.142e-05
15,10352.6,0.54746,0.55673,0.09955,0.68981,0.67759,0.70073,0.35808,0.54789,0.5772,0.12244,9.076e-05,9.076e-05,9.076e-05
16,11008,0.55252,0.5578,0.10054,0.73565,0.66045,0.72198,0.37288,0.53857,0.56403,0.11924,9.01e-05,9.01e-05,9.01e-05
17,11631,0.54878,0.55221,0.09864,0.69854,0.68328,0.71378,0.36715,0.53593,0.57701,0.11692,8.944e-05,8.944e-05,8.944e-05
18,12240.5,0.54826,0.54799,0.0996,0.72096,0.67572,0.71069,0.36635,0.53567,0.57691,0.11945,8.878e-05,8.878e-05,8.878e-05
19,12847.6,0.54155,0.54031,0.09722,0.71881,0.68331,0.72842,0.37641,0.53304,0.56105,0.11651,8.812e-05,8.812e-05,8.812e-05
20,13454.9,0.54116,0.54428,0.09861,0.72046,0.70291,0.73273,0.37869,0.52807,0.56607,0.11674,8.746e-05,8.746e-05,8.746e-05
21,14062.1,0.53646,0.53684,0.09739,0.7209,0.68959,0.72768,0.37603,0.52877,0.56322,0.11549,8.68e-05,8.68e-05,8.68e-05
22,14669.6,0.53752,0.53185,0.09832,0.72031,0.6857,0.72838,0.37644,0.53019,0.56128,0.11748,8.614e-05,8.614e-05,8.614e-05
23,15276.4,0.53302,0.53224,0.09737,0.72786,0.68866,0.73325,0.38344,0.52971,0.55436,0.11798,8.548e-05,8.548e-05,8.548e-05
24,15883.7,0.53472,0.53441,0.09698,0.7253,0.68464,0.72561,0.37563,0.53313,0.57147,0.11857,8.482e-05,8.482e-05,8.482e-05
25,16490.1,0.52897,0.52816,0.09593,0.72561,0.69961,0.73728,0.38213,0.52826,0.56112,0.11587,8.416e-05,8.416e-05,8.416e-05
26,17096.8,0.53078,0.52071,0.094,0.72013,0.70612,0.73745,0.38599,0.52909,0.55782,0.12053,8.35e-05,8.35e-05,8.35e-05
27,17703.6,0.52048,0.52214,0.0936,0.73509,0.68392,0.7372,0.38178,0.53533,0.55368,0.12058,8.284e-05,8.284e-05,8.284e-05
28,18310.3,0.52328,0.51456,0.09274,0.72442,0.70011,0.73976,0.38554,0.52486,0.5611,0.11594,8.218e-05,8.218e-05,8.218e-05
29,18916.5,0.52598,0.51974,0.09154,0.72542,0.70649,0.74524,0.38725,0.52928,0.55904,0.11884,8.152e-05,8.152e-05,8.152e-05
30,19523.5,0.51803,0.51522,0.09215,0.73403,0.70056,0.74412,0.38933,0.52904,0.55787,0.12036,8.086e-05,8.086e-05,8.086e-05
31,20130.5,0.51503,0.51103,0.09125,0.73022,0.70661,0.74647,0.38632,0.53146,0.55615,0.1178,8.02e-05,8.02e-05,8.02e-05
32,20737.4,0.51345,0.51265,0.09171,0.7232,0.69958,0.74168,0.38862,0.53012,0.55602,0.11731,7.954e-05,7.954e-05,7.954e-05
33,21344.1,0.51231,0.50691,0.09124,0.72695,0.70209,0.74188,0.3871,0.52768,0.55889,0.12053,7.888e-05,7.888e-05,7.888e-05
34,21950.8,0.5099,0.5032,0.09153,0.72639,0.70184,0.74492,0.38753,0.53118,0.5548,0.1195,7.822e-05,7.822e-05,7.822e-05
35,22557.1,0.50978,0.50253,0.09128,0.73551,0.71025,0.7504,0.38862,0.52966,0.55164,0.121,7.756e-05,7.756e-05,7.756e-05
36,23163.5,0.50989,0.50319,0.08946,0.72484,0.70522,0.73798,0.38283,0.53224,0.55631,0.1201,7.69e-05,7.69e-05,7.69e-05
37,23770.1,0.51077,0.50124,0.08965,0.71885,0.71872,0.74353,0.38799,0.5319,0.55651,0.1194,7.624e-05,7.624e-05,7.624e-05
38,24376.7,0.50296,0.49982,0.08775,0.73447,0.7106,0.74559,0.39066,0.52804,0.5544,0.12162,7.558e-05,7.558e-05,7.558e-05
39,24983.6,0.50196,0.5007,0.0894,0.73044,0.713,0.74979,0.38788,0.52874,0.55744,0.12058,7.492e-05,7.492e-05,7.492e-05
40,25590.2,0.50152,0.50088,0.0879,0.7432,0.71107,0.74816,0.38751,0.52869,0.55794,0.11884,7.426e-05,7.426e-05,7.426e-05
41,26196.9,0.50155,0.49563,0.08815,0.73145,0.71662,0.74671,0.38693,0.53148,0.55743,0.12161,7.36e-05,7.36e-05,7.36e-05
42,26803.7,0.49539,0.49102,0.08724,0.73277,0.71395,0.74102,0.38487,0.53238,0.56627,0.12218,7.294e-05,7.294e-05,7.294e-05
43,27410.7,0.49747,0.48726,0.08667,0.72711,0.71967,0.74896,0.38849,0.53497,0.55501,0.12048,7.228e-05,7.228e-05,7.228e-05
44,28017.6,0.4904,0.4894,0.08502,0.7308,0.72267,0.75005,0.38957,0.52984,0.55555,0.12054,7.162e-05,7.162e-05,7.162e-05
45,28628.8,0.49024,0.48574,0.08742,0.73365,0.70741,0.74327,0.38695,0.53331,0.55483,0.12273,7.096e-05,7.096e-05,7.096e-05
46,29235.9,0.48517,0.48906,0.0854,0.73946,0.71277,0.74811,0.38732,0.5315,0.56034,0.12199,7.03e-05,7.03e-05,7.03e-05
47,29856,0.48228,0.48832,0.08492,0.73061,0.71263,0.74785,0.38993,0.5347,0.55252,0.12101,6.964e-05,6.964e-05,6.964e-05
48,30506.8,0.47899,0.48197,0.08282,0.73276,0.71111,0.74784,0.38774,0.52982,0.55985,0.12144,6.898e-05,6.898e-05,6.898e-05
49,31186.9,0.48288,0.48388,0.08479,0.73445,0.7171,0.74591,0.38647,0.53641,0.55291,0.1231,6.832e-05,6.832e-05,6.832e-05
50,31833.2,0.48694,0.48142,0.08523,0.73672,0.72056,0.75444,0.39224,0.53639,0.55231,0.12393,6.766e-05,6.766e-05,6.766e-05
51,32477.4,0.48428,0.48067,0.08498,0.73364,0.72302,0.75238,0.39135,0.53492,0.55382,0.12133,6.7e-05,6.7e-05,6.7e-05
