epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,547.873,2.04451,2.00695,0.00537,0.52775,0.5185,0.51419,0.22999,1.86977,1.73459,0.00673,3.32948e-05,3.32948e-05,0.0667385
2,1116.17,1.83884,1.56382,0.00457,0.66316,0.58804,0.64751,0.32282,1.6847,1.32417,0.00595,6.61884e-05,6.61884e-05,0.0334381
3,1693.85,1.74283,1.4267,0.00428,0.66089,0.61453,0.6648,0.33835,1.63984,1.29132,0.00586,9.8642e-05,9.8642e-05,0.000137178
4,2256.97,1.69651,1.3608,0.00415,0.68162,0.62683,0.68881,0.35157,1.6424,1.2237,0.00574,9.802e-05,9.802e-05,9.802e-05
5,2846.73,1.67447,1.31455,0.00404,0.68336,0.6325,0.6895,0.36049,1.58698,1.22682,0.00553,9.736e-05,9.736e-05,9.736e-05
6,3458.25,1.65623,1.26949,0.00395,0.69986,0.6331,0.70257,0.36435,1.59293,1.20739,0.00554,9.67e-05,9.67e-05,9.67e-05
7,4062.78,1.65839,1.26118,0.00398,0.68583,0.64856,0.6998,0.36371,1.58449,1.21005,0.00559,9.604e-05,9.604e-05,9.604e-05
8,4605.39,1.63241,1.22701,0.00393,0.69976,0.65066,0.71627,0.3737,1.5807,1.1911,0.00545,9.538e-05,9.538e-05,9.538e-05
9,5126.4,1.63458,1.21235,0.0039,0.71907,0.65431,0.72508,0.37901,1.56571,1.1743,0.00543,9.472e-05,9.472e-05,9.472e-05
10,5647.39,1.62214,1.20003,0.00386,0.72145,0.65127,0.72329,0.37835,1.57308,1.17408,0.00544,9.406e-05,9.406e-05,9.406e-05
11,6168.02,1.60468,1.18714,0.00378,0.70197,0.67881,0.73442,0.38213,1.57631,1.14682,0.00544,9.34e-05,9.34e-05,9.34e-05
12,6689.03,1.59588,1.16996,0.00375,0.70153,0.66901,0.72982,0.37798,1.58237,1.14568,0.00544,9.274e-05,9.274e-05,9.274e-05
13,7209.74,1.59436,1.15578,0.00372,0.72238,0.65066,0.73207,0.38374,1.56378,1.16179,0.00539,9.208e-05,9.208e-05,9.208e-05
14,7730.63,1.57936,1.12884,0.00368,0.71937,0.66278,0.72783,0.38227,1.56859,1.12234,0.00541,9.142e-05,9.142e-05,9.142e-05
15,8251.18,1.56773,1.11795,0.00365,0.71486,0.66453,0.73328,0.38944,1.57112,1.11208,0.00541,9.076e-05,9.076e-05,9.076e-05
16,8772.09,1.58135,1.13129,0.00373,0.71989,0.66742,0.73264,0.39045,1.54542,1.13233,0.00533,9.01e-05,9.01e-05,9.01e-05
17,9293.07,1.5744,1.10393,0.00366,0.71871,0.67204,0.73585,0.39259,1.55198,1.11326,0.00534,8.944e-05,8.944e-05,8.944e-05
18,9813.99,1.56186,1.10274,0.00365,0.71842,0.67443,0.73776,0.39038,1.55729,1.12003,0.00534,8.878e-05,8.878e-05,8.878e-05
19,10334.4,1.55032,1.08659,0.00361,0.71322,0.67439,0.73208,0.38426,1.55977,1.14884,0.0054,8.812e-05,8.812e-05,8.812e-05
20,10862.2,1.5483,1.08311,0.00362,0.72559,0.66882,0.73858,0.39588,1.548,1.09664,0.00531,8.746e-05,8.746e-05,8.746e-05
21,11404,1.54553,1.07252,0.0036,0.72924,0.66404,0.73946,0.39611,1.53672,1.10977,0.0053,8.68e-05,8.68e-05,8.68e-05
22,11924.9,1.54301,1.07865,0.00361,0.73433,0.66852,0.74288,0.39701,1.54005,1.11164,0.00528,8.614e-05,8.614e-05,8.614e-05
23,12445.4,1.53507,1.0558,0.0036,0.74718,0.6506,0.73974,0.39536,1.53303,1.11891,0.00526,8.548e-05,8.548e-05,8.548e-05
24,12965.9,1.53088,1.04966,0.00358,0.73136,0.67571,0.74038,0.39281,1.5399,1.09677,0.00525,8.482e-05,8.482e-05,8.482e-05
25,13486.1,1.53135,1.03895,0.00355,0.748,0.66641,0.74573,0.39661,1.55098,1.094,0.0053,8.416e-05,8.416e-05,8.416e-05
26,14006.5,1.52645,1.03166,0.00353,0.72119,0.67773,0.7436,0.39569,1.54688,1.11177,0.00535,8.35e-05,8.35e-05,8.35e-05
27,14526.6,1.51177,1.03223,0.00351,0.73718,0.67335,0.74117,0.39472,1.53804,1.09457,0.00529,8.284e-05,8.284e-05,8.284e-05
28,15046.9,1.51171,1.01637,0.00347,0.73609,0.68374,0.74939,0.39847,1.54702,1.07444,0.0053,8.218e-05,8.218e-05,8.218e-05
29,15567.3,1.52317,1.03345,0.00343,0.72397,0.68015,0.74388,0.39875,1.53529,1.10478,0.00531,8.152e-05,8.152e-05,8.152e-05
30,16087.9,1.50155,1.00159,0.00345,0.74275,0.68063,0.75393,0.40433,1.54718,1.07083,0.00532,8.086e-05,8.086e-05,8.086e-05
31,16608.5,1.50212,0.98688,0.00344,0.73476,0.68493,0.75149,0.40183,1.53774,1.07622,0.00527,8.02e-05,8.02e-05,8.02e-05
32,17132.9,1.49293,0.99878,0.00342,0.73279,0.68827,0.75069,0.40311,1.53531,1.07362,0.00524,7.954e-05,7.954e-05,7.954e-05
33,17638.9,1.49834,0.98985,0.00342,0.72988,0.69185,0.75238,0.40196,1.54244,1.07086,0.00525,7.888e-05,7.888e-05,7.888e-05
34,18143.8,1.48289,0.987,0.00344,0.73707,0.67258,0.75027,0.39806,1.53879,1.08593,0.00528,7.822e-05,7.822e-05,7.822e-05
35,18645.9,1.48855,0.97643,0.00343,0.71762,0.68154,0.73999,0.39318,1.52563,1.10794,0.00521,7.756e-05,7.756e-05,7.756e-05
36,19147.7,1.4822,0.96244,0.0034,0.7433,0.68154,0.75195,0.40205,1.53342,1.08636,0.00525,7.69e-05,7.69e-05,7.69e-05
37,19649.7,1.49076,0.95484,0.00339,0.73475,0.69045,0.75077,0.40635,1.53124,1.07852,0.00528,7.624e-05,7.624e-05,7.624e-05
38,20151.6,1.48387,0.96182,0.00335,0.7214,0.69311,0.75199,0.40442,1.53349,1.08192,0.00528,7.558e-05,7.558e-05,7.558e-05
39,20653.1,1.47848,0.94749,0.00337,0.73761,0.67467,0.74971,0.40313,1.5318,1.08516,0.00526,7.492e-05,7.492e-05,7.492e-05
40,21154.8,1.46922,0.94576,0.00334,0.73717,0.67946,0.75165,0.4041,1.53565,1.07659,0.00527,7.426e-05,7.426e-05,7.426e-05
41,21670.2,1.46457,0.93862,0.0033,0.74611,0.6695,0.75169,0.40394,1.53444,1.07946,0.00529,7.36e-05,7.36e-05,7.36e-05
42,22239.6,1.45267,0.92095,0.00331,0.73166,0.68489,0.74703,0.40291,1.53595,1.09178,0.00527,7.294e-05,7.294e-05,7.294e-05
43,22827.6,1.46136,0.92621,0.00329,0.72512,0.6913,0.74997,0.40023,1.53944,1.088,0.0053,7.228e-05,7.228e-05,7.228e-05
44,23473.6,1.44873,0.91392,0.00328,0.73823,0.67609,0.75251,0.40378,1.54048,1.08498,0.00535,7.162e-05,7.162e-05,7.162e-05
45,24126.3,1.44589,0.9107,0.0033,0.74308,0.68009,0.75477,0.40607,1.53249,1.07314,0.00524,7.096e-05,7.096e-05,7.096e-05
46,24765.4,1.43258,0.90513,0.00325,0.75807,0.67917,0.75715,0.40653,1.53671,1.07531,0.00529,7.03e-05,7.03e-05,7.03e-05
47,25375.4,1.43102,0.89409,0.00327,0.7231,0.69863,0.75476,0.4033,1.54242,1.07795,0.00529,6.964e-05,6.964e-05,6.964e-05
48,25994.2,1.42774,0.88346,0.00321,0.7244,0.6888,0.74831,0.40281,1.53907,1.08389,0.00529,6.898e-05,6.898e-05,6.898e-05
49,26598,1.43273,0.89037,0.00327,0.73909,0.68482,0.75422,0.40361,1.54033,1.06976,0.00531,6.832e-05,6.832e-05,6.832e-05
