epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,578.968,1.69922,1.53271,1.19322,0.61682,0.579,0.60437,0.28244,1.62135,1.32388,1.19257,3.32948e-05,3.32948e-05,0.0667385
2,1146.5,1.59441,1.23717,1.15079,0.69513,0.60435,0.6755,0.3335,1.54109,1.14933,1.16959,6.6195e-05,6.6195e-05,0.0334381
3,1678.72,1.55602,1.173,1.1444,0.67794,0.61481,0.68768,0.33354,1.52852,1.1696,1.15178,9.8662e-05,9.8662e-05,0.000137198
4,2206.65,1.53264,1.14135,1.13461,0.69829,0.65288,0.71181,0.35096,1.50288,1.08287,1.15331,9.805e-05,9.805e-05,9.805e-05
5,2735.65,1.51094,1.0915,1.12852,0.68978,0.64794,0.69972,0.34246,1.50322,1.08175,1.15087,9.74e-05,9.74e-05,9.74e-05
6,3263.47,1.48849,1.05876,1.11382,0.73162,0.64028,0.72054,0.35627,1.51331,1.06434,1.16028,9.675e-05,9.675e-05,9.675e-05
7,3793.2,1.48734,1.04449,1.1173,0.71561,0.65586,0.71971,0.36369,1.47314,1.03551,1.14146,9.61e-05,9.61e-05,9.61e-05
8,4321,1.46075,1.02425,1.10872,0.7134,0.65327,0.72217,0.35607,1.49572,1.02724,1.14903,9.545e-05,9.545e-05,9.545e-05
9,4848.48,1.45552,1.00437,1.10595,0.75855,0.6505,0.73475,0.36856,1.46863,1.03218,1.1381,9.48e-05,9.48e-05,9.48e-05
10,5376.41,1.44402,0.99787,1.09758,0.71159,0.6775,0.73289,0.37682,1.44671,1.01763,1.13043,9.415e-05,9.415e-05,9.415e-05
11,5903.98,1.42974,0.98567,1.08802,0.74266,0.66687,0.74074,0.37274,1.45767,1.00977,1.13278,9.35e-05,9.35e-05,9.35e-05
12,6431.59,1.41634,0.97013,1.08598,0.71048,0.6828,0.74531,0.3754,1.48465,0.99048,1.14598,9.285e-05,9.285e-05,9.285e-05
13,6959.18,1.41673,0.95224,1.08918,0.72862,0.6703,0.73932,0.37672,1.44763,1.00959,1.13185,9.22e-05,9.22e-05,9.22e-05
14,7486.52,1.40017,0.94871,1.07894,0.7398,0.65982,0.73999,0.38021,1.43567,0.99273,1.12788,9.155e-05,9.155e-05,9.155e-05
15,8014.25,1.38343,0.93121,1.07716,0.72799,0.68021,0.7408,0.37345,1.45452,1.00199,1.13466,9.09e-05,9.09e-05,9.09e-05
16,8541.71,1.39354,0.94337,1.078,0.74541,0.67719,0.74737,0.37819,1.4566,0.99154,1.13195,9.025e-05,9.025e-05,9.025e-05
